stat,lambda_a,lambda_b,point_diff,boot_sd_diff,p05_diff,p50_diff,p95_diff,frac_diff_pos,n_paired
E_xb,1.0,0.0,0.0069755112950276995,0.003788727928532259,-0.00226288130758232,0.0043814013141398,0.009899605581082131,0.864,500
E_xb,1.0,0.5,0.0033776193122409997,0.001967260167968997,-0.0016554186490899147,0.0018430133773938,0.004728769678312424,0.816,500
E_xb,0.5,0.0,0.0035978919827867,0.001845488453442123,-0.0006191402199614749,0.002553237775519245,0.005211092461390698,0.908,500
sd_xb,1.0,0.0,0.004684414067545994,0.024917409304731554,0.01381459844356076,0.05395600994334885,0.09359148441704904,0.986,500
sd_xb,1.0,0.5,0.005773475439061697,0.012800084471854285,0.00920152382123155,0.029241723935365393,0.05078389383102079,0.994,500
sd_xb,0.5,0.0,-0.0010890613715157024,0.012401194001377163,0.004379627292370503,0.023644514216031202,0.044384827562352444,0.978,500
Sharpe_xb,1.0,0.0,0.11238540211621591,0.03335764350647924,0.022791575939612414,0.08133657837599345,0.13112883013215568,0.984,500
Sharpe_xb,1.0,0.5,0.051061826705091504,0.012989459879707609,0.010825751750507272,0.027417995391088308,0.051759836067752266,0.992,500
Sharpe_xb,0.5,0.0,0.061323575411124404,0.021713964561136802,0.011946743317082505,0.05280493134747385,0.08121648468346244,0.982,500
Phi_xb_spr,1.0,0.0,1.5015789611486756,0.9065998164461992,1.450548422647337,2.5669649432154227,4.398633734393161,1.0,500
Phi_xb_spr,1.0,0.5,0.3916876450435085,0.25238512018144577,-0.2021378811075451,0.23446401477172873,0.5796077162215131,0.862,500
Phi_xb_spr,0.5,0.0,1.1098913161051671,1.053427645592516,1.1204387292828257,2.2914402813284713,4.559940854298143,1.0,500
Phi_xb_y1,1.0,0.0,0.3886315341622052,0.6765477942575963,0.689290586803772,1.4835254301016858,2.7974648237863096,1.0,500
Phi_xb_y1,1.0,0.5,-0.03355163109976683,0.28246688574128137,-0.5564568770388976,-0.033430094141415956,0.34502153570976235,0.428,500
Phi_xb_y1,0.5,0.0,0.422183165261972,0.7536260476721389,0.6907742249063554,1.5166493562927936,3.0769511420136815,1.0,500
corr_vy10_vxb,1.0,0.0,0.0022666028948935546,0.014074879117810812,-0.02572600992220185,-0.00012233635088226835,0.01072878508209808,0.496,500
corr_vy10_vxb,1.0,0.5,0.0027852711367359895,0.0027525946342320784,0.0011167714903625558,0.004470646476489759,0.010389175143808776,0.992,500
corr_vy10_vxb,0.5,0.0,-0.0005186682418424349,0.013639469724467449,-0.03067784191789855,-0.0038220820990388926,0.0028243538257255395,0.238,500
