stat,lambda_val,point_estimate,boot_mean,boot_sd,p05,p50,p95,n_used,n_explosive_excluded
E_spr,0.0,-8.89445267303498e-05,-7.086990703590708e-06,0.00021344121166116012,-0.000346896620818225,-5.306366216013199e-06,0.0003056306445520348,500,0
sd_spr,0.0,0.0147806581727632,0.01859381485496666,0.002265286926169876,0.015097278457894634,0.0184717403303627,0.022282871718945278,500,0
E_xb,0.0,-0.0005291296817918,-0.0010798775333726183,0.0013601364036963958,-0.003607007411070615,-0.00089502112551175,0.0008567088113472148,500,0
sd_xb,0.0,0.0590856502219189,0.052329321208792426,0.010660938190559858,0.034981728819876746,0.05245728640095995,0.06999848278077896,500,0
Sharpe_xb,0.0,0.0205875258157079,0.006242840640234011,0.02358507334738741,-0.03478690498364708,0.006843172174758249,0.044363472042228326,500,0
E_xr,0.0,0.048028200074335,0.050124256055832615,0.017714073358568647,0.02041023931984597,0.0510087283757243,0.07742931741852724,500,0
sd_xr,0.0,0.1945570010585953,0.19139026048410968,0.019269920365569036,0.1610041188618768,0.19100307592994215,0.2247403596317057,500,0
Sharpe_xr,0.0,0.3441377747420527,0.36192863458986096,0.09826907635333564,0.2024225297807089,0.3655080552090398,0.5300218540652066,500,0
Phi_xb_cape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0
Phi_xb_spr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0
Phi_xb_y1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0
Phi_xr_cape,0.0,0.1377726991183085,0.11640855959261337,0.05583732938286869,0.03539422660669011,0.11038046020831094,0.21127667068920705,500,0
Phi_xr_spr,0.0,0.3097305748435091,11.602453648621209,293.94969722877397,-28.096035690903673,0.7560407071195296,34.178746000559244,500,0
Phi_xr_y1,0.0,-1.3179316231760545,6.0046063903677265,188.62623462168517,-21.264690131790193,-0.8371197343283573,22.18395655152498,500,0
Phi_spr_spr,0.0,0.4628482631368065,-0.09695085206292754,3.143391550360428,-1.380008896784079,-0.1697822195245221,0.4331462310483054,500,0
spr_halflife,0.0,0.8997751389570284,1.050965357476154,2.5416746280562306,0.169970233702524,0.5101459189975824,2.7656744074022286,437,0
state_max_eig,0.0,0.9344499017679998,0.7988887008013144,0.06646067550482598,0.6859506695361911,0.8024842273669321,0.8960085024194425,500,0
sd_v_xb,0.0,0.0585789327541973,0.05297671119829268,0.010854356237284582,0.03541053890868246,0.053070162966539,0.07081931734989434,500,0
corr_vxr_vxb,0.0,-0.0785775316477498,-0.03804432344759296,0.12235103421497037,-0.23103674685469253,-0.0394687857978642,0.14900936957366895,500,0
corr_vy10_vxb,0.0,-0.9912479622167372,-0.9864456368124925,0.013484613181394562,-0.9971187206501789,-0.990463259874443,-0.9624601313085732,500,0
E_spr,0.5,0.0035012554924098,0.0034383579081581016,0.001627861554922709,0.0007259858293043501,0.00352217680996115,0.006019977746150799,500,0
sd_spr,0.5,0.0159995911946833,0.016883260086466356,0.002006095287650253,0.01357789920728405,0.0169421547450547,0.020010755588919283,500,0
E_xb,0.5,0.0030687623009949,0.0014013535957501768,0.002445014248831033,-0.00244667626890293,0.00132538794172535,0.005415478549406379,500,0
sd_xb,0.5,0.0579965888504032,0.07659380110172617,0.012912285142517101,0.055729354923092715,0.07613788416872186,0.09875186453429806,500,0
Sharpe_xb,0.5,0.0819111012268323,0.05677387479160887,0.03332765875039701,0.006334714703923469,0.0559300069579702,0.11298091478836471,500,0
E_xr,0.5,0.048028200074335,0.050124256055832615,0.017714073358568647,0.02041023931984597,0.0510087283757243,0.07742931741852724,500,0
sd_xr,0.5,0.1945570010585953,0.19139026048410968,0.019269920365569036,0.1610041188618768,0.19100307592994215,0.2247403596317057,500,0
Sharpe_xr,0.5,0.3441377747420527,0.36192863458986096,0.09826907635333564,0.2024225297807089,0.3655080552090398,0.5300218540652066,500,0
Phi_xb_cape,0.5,-0.0078713213117399,-0.009476644879924327,0.01976295617058373,-0.04186955474516749,-0.0095477802367872,0.022108699274234506,500,0
Phi_xb_spr,0.5,1.1098913161051671,2.484401856226948,1.053427645592516,1.1204387292828257,2.2914402813284713,4.559940854298143,500,0
Phi_xb_y1,0.5,0.422183165261972,1.6581655465546914,0.7536260476721389,0.6907742249063554,1.5166493562927936,3.0769511420136815,500,0
Phi_xr_cape,0.5,0.1377726991183086,0.11640855959261355,0.05583732938286884,0.035394226606690046,0.110380460208311,0.21127667068920694,500,0
Phi_xr_spr,0.5,0.1767568396013776,0.2755828699201486,2.581344899932027,-3.679788706196485,0.25706765601672193,4.432658959113405,500,0
Phi_xr_y1,0.5,-1.3875873051736332,-1.2064691410974755,1.7326830941987614,-4.174921597199307,-1.1921762846192805,1.559630225493424,500,0
Phi_spr_spr,0.5,0.6036253022459445,0.4147157793449755,0.19839737632364354,0.06415036735050447,0.44004748564876317,0.6597779564966989,500,0
spr_halflife,0.5,1.373108036459245,0.959986638771076,1.2988055592451082,0.3275464110089415,0.8444037392341518,1.654370399875905,498,0
state_max_eig,0.5,0.9344499017679996,0.7988887008013121,0.06646067550482877,0.6859506695361942,0.8024842273669315,0.8960085024194412,500,0
sd_v_xb,0.5,0.0569273227906123,0.0738669105030844,0.012667121722451234,0.053615613617093744,0.07328858728721166,0.09525930810151648,500,0
corr_vxr_vxb,0.5,-0.0051839799278611,0.016609941405236205,0.11253281177306179,-0.15313988512985258,0.017762269787588998,0.19331513808517625,500,0
corr_vy10_vxb,0.5,-0.9917666304585796,-0.9945951562696502,0.002551510654163468,-0.998322367079627,-0.994532047470812,-0.9903827543988191,500,0
E_spr,1.0,0.0070914555115501,0.00688380280701984,0.003236332320980286,0.0015172637482262902,0.00699466060315735,0.011847040895480391,500,0
sd_spr,1.0,0.0184032897158215,0.0180058146774861,0.0019825470166045475,0.014661036087994305,0.01802928818486605,0.02098243185495289,500,0
E_xb,1.0,0.0064463816132359,0.0031519080740674416,0.004163860623715786,-0.00384329152531313,0.00302247669498275,0.00988363698213491,500,0
sd_xb,1.0,0.0637700642894649,0.10674389482845535,0.022883797941819755,0.06975948096954152,0.10654036474302085,0.14397895325473029,500,0
Sharpe_xb,1.0,0.1329729279319238,0.08512074603368106,0.0413704567843841,0.023593102925871225,0.084787073294702,0.1503044727799788,500,0
E_xr,1.0,0.048028200074335,0.050124256055832615,0.017714073358568647,0.02041023931984597,0.0510087283757243,0.07742931741852724,500,0
sd_xr,1.0,0.1945570010585953,0.19139026048410968,0.019269920365569036,0.1610041188618768,0.19100307592994215,0.2247403596317057,500,0
Sharpe_xr,1.0,0.3441377747420527,0.36192863458986096,0.09826907635333564,0.2024225297807089,0.3655080552090398,0.5300218540652066,500,0
Phi_xb_cape,1.0,-0.0069278740040214,-0.010628378097786169,0.02752691874640528,-0.05910924275556095,-0.00918373959081105,0.030874049374780364,500,0
Phi_xb_spr,1.0,1.5015789611486756,2.696923428547641,0.9065998164461992,1.450548422647337,2.5669649432154227,4.398633734393161,500,0
Phi_xb_y1,1.0,0.3886315341622052,1.5920213990889998,0.6765477942575963,0.689290586803772,1.4835254301016858,2.7974648237863096,500,0
Phi_xr_cape,1.0,0.1377726991183085,0.11640855959261355,0.05583732938286884,0.035394226606690046,0.11038046020831094,0.21127667068920702,500,0
Phi_xr_spr,1.0,0.1236649300447636,0.1555917419181523,1.5017539474423394,-2.221426331959792,0.1629081858265484,2.5720333645404203,500,0
Phi_xr_y1,1.0,-1.4153984602260627,-1.2884273041489362,1.1410140458015068,-2.9690462625340435,-1.2950550758785,0.49602613303704896,500,0
Phi_spr_spr,1.0,0.6598328067912629,0.5110023799504797,0.14508627444763722,0.23980286736616085,0.5319647529108729,0.6863267879514905,500,0
spr_halflife,1.0,1.6671457359607784,1.1427337952428631,0.4219479633222372,0.4854200402204944,1.0981801469843446,1.8415116147484782,500,0
state_max_eig,1.0,0.9344499017679996,0.7988887008013121,0.06646067550482873,0.6859506695361954,0.8024842273669304,0.8960085024194417,500,0
sd_v_xb,1.0,0.0602270700961502,0.0996013603549671,0.020974541162635953,0.06576086168239494,0.09916262965142644,0.13488866077251727,500,0
corr_vxr_vxb,1.0,0.0618586881572537,0.04143301661786135,0.10888301976212286,-0.1330246023429939,0.0412573963070442,0.20707896875901283,500,0
corr_vy10_vxb,1.0,-0.9889813593218436,-0.9897474166579359,0.0049042026715774584,-0.9970167743335678,-0.9898227376231018,-0.9805980358059768,500,0
