equation,coefficient,value
rtb,const,0.01458570336615565
rtb,z_bar,0.016412330733111654
rtb,lag_rtb,0.43894004745844745
rtb,lag_xr,-0.033954406829151046
rtb,lag_y_1_nom,0.23584930482157088
rtb,lag_spr_nom,-0.8176857015791592
rtb,lag_cape,0.0036671514684870053
xr,const,0.40302598015547614
xr,z_bar,0.051844273599295214
xr,lag_rtb,0.2260864228820012
xr,lag_xr,0.1308246769741157
xr,lag_y_1_nom,-0.5265650348813351
xr,lag_spr_nom,3.4464716134207234
xr,lag_cape,0.13028612622943783
y_1_nom,const,0.004350529162989598
y_1_nom,z_bar,0.04402987766457669
y_1_nom,lag_rtb,-0.033339907115226476
y_1_nom,lag_xr,0.020589544301495677
y_1_nom,lag_y_1_nom,0.9440110729264335
y_1_nom,lag_spr_nom,0.13399041162151032
y_1_nom,lag_cape,0.0011222942929610586
spr_nom,const,0.0006116968123643633
spr_nom,z_bar,0.004891283021047496
spr_nom,lag_rtb,0.008466867620789294
spr_nom,lag_xr,-0.017511780502088535
spr_nom,lag_y_1_nom,-0.012890528820471052
spr_nom,lag_spr_nom,0.6095365670996258
spr_nom,lag_cape,-0.0009659831228850319
cape,const,-0.35850416252507467
cape,z_bar,-2.727442332889472
cape,lag_rtb,-0.8298727124211931
cape,lag_xr,-0.08831188953718452
cape,lag_y_1_nom,0.07787438680152038
cape,lag_spr_nom,-3.378320755384552
cape,lag_cape,0.8570828456254153
