year,cape,spr,y_1,xr,xb
1920,-1.790035946672557,0.029736837185920927,-0.006524094738060621,0.11968339479940221,-0.016133361518991387
1921,-1.6335809392762046,-0.051228047430849355,0.08902727604784712,-0.22442041081507264,-0.08736591862558754
1922,-1.8384978935652554,-0.06871613170708453,0.10275630225882547,0.0221403538095543,-0.023089095393700423
1923,-2.0985331911771135,-0.013520138347161585,0.038084161254993254,0.21123960571912748,0.003499821632880859
1924,-2.088432185204824,-0.0073194728354549,0.027380084810166634,0.004119347072351648,0.022398273649302303
1925,-2.2713646527787117,-0.00816570052454171,0.027368639353561236,0.19348684150492915,-0.00032772638564596696
1926,-2.4284214964784474,0.0016803975349486099,0.015402724328212037,0.1938316828056957,0.009187353196905224
1927,-2.579150399694241,-0.02766765083041642,0.04809988620698234,0.07156043545185017,-0.026020844164923524
1928,-2.934182804569831,-0.019373314112872252,0.03886752207156742,0.27429081661880694,-0.020034669622262566
1929,-3.2989135954526065,-0.025287670081189168,0.048447565052170405,0.3422672064538087,-0.049338484672672336
1930,-3.1050674729258394,-0.03264354575985939,0.050269881457040144,-0.14969903058772954,0.019148048646303567
1931,-2.815736733377592,-0.045684357293456,0.06256177699817776,-0.2970560791998768,-0.026465513331950935
1932,-2.2313475385736523,-0.06598836868059661,0.08983416505326433,-0.6205956713143197,-0.10337927451955507
1933,-2.166541537565079,-0.04188370594558796,0.05944289821868817,-0.13040832703695046,-0.01567296319185818
1934,-2.56687978746908,0.031427861072750904,-0.027480913540291422,0.42380598172104117,0.07044460000641906
1935,-2.4419911431950623,0.017164607768957417,-0.014634668458287294,-0.09001298276830394,0.0439323729585661
1936,-2.8383389998802047,0.02904546891207041,-0.02739174897124062,0.43959232346078136,0.024951621335483953
1937,-3.0735606043631565,0.0256200053506424,-0.02483506622564931,0.2825691912723312,0.03680018109590997
1938,-2.6035383562260628,-0.004399798616783782,0.008138741607146636,-0.40629905244008735,-0.0008619462187620906
1939,-2.7472474787834007,0.0066093874531528716,-0.0033498017146099367,0.13968898771934105,-0.0001652898411415686
1940,-2.7959682989448296,0.005359236260043485,-0.0031241735507826288,0.03132597572619654,0.015681355562708454
1941,-2.6321879513661073,0.0069388871719402384,-0.005919573729218662,-0.09392701796072803,0.01617956312637959
1942,-2.3127023833670393,0.04481472604951475,-0.048342493043103923,-0.10801701554803904,0.04765471219625245
1943,-2.3175263366576364,0.04118536442249071,-0.04211923561773909,0.17454710862230233,0.02105324537326333
1944,-2.402648753810159,0.025523762178060072,-0.023489667316552058,0.20650718583253666,0.014348573835748696
1945,-2.481606496919498,0.02061800889161062,-0.018402528129261308,0.17021255276010616,0.023907785664450502
1946,-2.7487546320888896,0.023675019659453372,-0.022596085789639616,0.3207058313976317,0.030734411817735438
1947,-2.4396735809364274,0.06068780322281718,-0.06759736892578865,-0.12334466810048499,0.09518497977534529
1948,-2.343663949625155,0.03865517772004401,-0.03880962296954707,0.025472642305530036,-0.0022553723284173544
1949,-2.327110448479578,0.005703661792159828,0.0010906978901828925,0.09329853784677661,-0.023932384740886548
