year,rtb,xr,cape,y_1_nom,spr_nom,y_10_nom_obs,y_1_real,y_10_real_EH,y_10_nom_EH,pi_10_VAR,term_prem_nom,y_10_real_obs_implied,spr_real_obs_implied,long_yield_pct,maturity_n,long_yield_source
1920,-0.10263538935727298,0.11968339479940221,-1.790035946672557,0.07045846364856141,-0.021954054588946434,0.04850440905961498,-0.006524094738060621,0.02879203552792357,0.06158643653329075,0.03279440100536718,-0.013082027473675775,0.015710008054247795,0.022234102792308415,4.97,20,shiller
1921,0.08612458039296088,-0.22442041081507264,-1.6335809392762046,0.07176236622689078,-0.022115426337477005,0.04964693988941377,0.08902727604784712,0.03215194010169237,0.05468644054260804,0.02253450044091567,-0.005039500653194265,0.027112439448498102,-0.061914836599349016,5.09,20,shiller
1922,0.1888877234643036,0.0221403538095543,-1.8384978935652554,0.044782142771893185,-0.0026809667532577894,0.042101176018635396,0.10275630225882547,0.02587707100176616,0.04296488256921031,0.017087811567444145,-0.0008637065505749109,0.02501336445119125,-0.07774293780763422,4.3,20,shiller
1923,0.05071687829170765,0.21123960571912748,-2.0985331911771135,0.048409139207687545,-0.005732864927251224,0.04267627428043632,0.038084161254993254,0.023556654247922977,0.04810606552013156,0.024549411272208582,-0.005429791239695239,0.018126863008227738,-0.019957298246765516,4.36,20,shiller
1924,0.019081524113167624,0.004119347072351648,-2.088432185204824,0.0424846116061553,-0.0026871417320892127,0.039797469874066085,0.027380084810166634,0.02071861311174115,0.04536486119694982,0.024646248085208666,-0.0055673913228837316,0.01515122178885742,-0.012228863021309214,4.06,20,shiller
1925,0.0424846116061553,0.19348684150492915,-2.2713646527787117,0.03796993125162867,-9.627882354715234e-05,0.037873652428081515,0.027368639353561236,0.019443844013773966,0.04316366295533422,0.023719818941560254,-0.0052900105272527045,0.014153833486521262,-0.013214805867039974,3.86,20,shiller
1926,0.003875719908652743,0.1938316828056957,-2.4284214964784474,0.04190940307720962,-0.005770356461336425,0.036139046615873194,0.015402724328212037,0.01915537742472624,0.04396828326452794,0.024812905839801697,-0.007829236648654744,0.011326140776071497,-0.00407658355214054,3.68,20,shiller
1927,0.06450923499445053,0.07156043545185017,-2.579150399694241,0.0417175933518685,-0.008863256480921317,0.03285433687094718,0.04809988620698234,0.019066920639251438,0.03928699742624944,0.020220076786998005,-0.006432660555302262,0.012634260083949175,-0.03546562612303317,3.34,20,shiller
1928,0.05321197277760352,0.27429081661880694,-2.934182804569831,0.0453557017207972,-0.012598137482625012,0.032757564238172186,0.03886752207156742,0.018504342791785137,0.039716573233163265,0.021212230441378127,-0.006959008994991078,0.01154533379679406,-0.02732218827477336,3.33,20,shiller
1929,0.0569837397159163,0.3422672064538087,-3.2989135954526065,0.05836324329691494,-0.022996099459623623,0.035367143837291316,0.048447565052170405,0.020315186580887636,0.04171187062756083,0.021396684046673192,-0.0063447267902695115,0.013970459790618124,-0.03447710526155228,3.6,20,shiller
1930,0.05836324329691494,-0.14969903058772954,-3.1050674729258394,0.040661981718889635,-0.00829160168843892,0.032370380030450716,0.050269881457040144,0.014514725360330286,0.03386002056064501,0.01934529520031472,-0.0014896405301942917,0.013025084830135994,-0.03724479662690415,3.29,20,shiller
1931,0.11342133600131807,-0.2970560791998768,-2.815736733377592,0.02400945246035187,0.008844884410595312,0.03285433687094718,0.06256177699817776,0.011544925238325777,0.02864678164697685,0.017101856408651073,0.00420755522397033,0.015752480462296107,-0.04680929653588166,3.34,20,shiller
