year,cape,spr,y_1,xr,xb
1920,-1.790035946672557,0.01520330338236512,0.004832438712107395,0.11968339479940221,-0.03598827046837582
1921,-1.6335809392762046,-0.018357911672280305,0.048736530200716555,-0.22442041081507264,-0.06912196964134354
1922,-1.8384978935652554,-0.04317014236233808,0.07639096133654692,0.0221403538095543,-0.04040067392795765
1923,-2.0985331911771135,-0.018585036467271682,0.04460905868015739,0.21123960571912748,0.011890352511652338
1924,-2.088432185204824,-0.0011749535426575641,0.02051446122964303,0.004119347072351648,0.03435471531129094
1925,-2.2713646527787117,-0.006102971275821885,0.02508481579960746,0.19348684150492915,0.0017509689757594996
1926,-2.4284214964784474,-0.0010502249204724888,0.01578320288464878,0.1938316828056957,0.028716207506055733
1927,-2.579150399694241,-0.017789533422141478,0.03319620395239105,0.07156043545185017,-0.006686941392368431
1928,-2.934182804569831,-0.025431806406441854,0.04134794495677187,0.27429081661880694,-0.022038152975337108
1929,-3.2989135954526065,-0.03249212130937922,0.049994080271853356,0.3422672064538087,-0.03862353529197858
1930,-3.1050674729258394,-0.012927950081826284,0.025512326132067744,-0.14969903058772954,0.008099138287223459
1931,-2.815736733377592,-0.018607925330227294,0.0367915906789361,-0.2970560791998768,-0.060273375698045265
1932,-2.2313475385736523,-0.03288499019192634,0.058144206859451604,-0.6205956713143197,-0.07681771333518582
1933,-2.166541537565079,-0.02184494311644382,0.04371198248749594,-0.13040832703695046,-0.005920351941366177
1934,-2.56687978746908,0.01554058422184211,-0.005789159099856583,0.42380598172104117,0.07605811692798095
1935,-2.4419911431950623,0.017727479494888197,-0.011253323943276947,-0.09001298276830394,0.04364129937860939
1936,-2.8383389998802047,0.020277516084813617,-0.016836498639662148,0.43959232346078136,0.04415989913655013
1937,-3.0735606043631565,0.014309109703103683,-0.00971172824719689,0.2825691912723312,0.010047362762790446
1938,-2.6035383562260628,0.018381539039686135,-0.015064263766582504,-0.40629905244008735,0.025569048101925607
1939,-2.7472474787834007,0.0021697210161869523,0.003639916825013417,0.13968898771934105,-0.003681548497144995
1940,-2.7959682989448296,0.009475812722088526,-0.007300737158120591,0.03132597572619654,0.033947827478762245
1941,-2.6321879513661073,0.010078601284717095,-0.010363304419649241,-0.09392701796072803,0.0313747115868843
1942,-2.3127023833670393,0.0407403934584484,-0.04336977796443498,-0.10801701554803904,0.031210799940779084
1943,-2.3175263366576364,0.03775310998992195,-0.03959234941788579,0.17454710862230233,0.03353481265055121
1944,-2.402648753810159,0.019853953320332466,-0.01703438240889127,0.20650718583253666,-0.004564028702534063
1945,-2.481606496919498,0.016564554992952646,-0.01424001540817395,0.17021255276010616,0.02424698242557421
1946,-2.7487546320888896,0.014360746971580981,-0.013944594758884276,0.3207058313976317,0.03354187724919864
1947,-2.4396735809364274,0.057336159406903925,-0.06754998240280023,-0.12334466810048499,0.10983171997604539
1948,-2.343663949625155,0.03086014217108838,-0.03236359019581071,0.025472642305530036,-0.025193377197933367
1949,-2.327110448479578,0.010812858713432629,-0.008656086831278983,0.09329853784677661,-0.002330652927801137
1950,-2.374508773438054,-0.0022634289490291396,0.008370698909247958,0.16218636739604553,-0.024360814760389524
1951,-2.476182020608157,0.016396222572147925,-0.014287985434121922,0.27959134237478034,0.032649774882921624
1952,-2.5278910844022335,0.014957027821747286,-0.011896001937892756,0.16714117652373406,0.007910915106091657
1953,-2.5657777410259706,-0.0011411168541575166,0.009667610127166767,0.10934394871475514,-0.03348657644333951
1954,-2.485127504975017,0.003184130455031183,0.0020565240556011423,0.00536830954954421,0.02720404580333567
1955,-2.7720123726178567,-0.0009207917651924344,0.007951308299700444,0.36243494115127484,-0.012509444444315055
1956,-2.906495807548065,-0.008003259725895157,0.017258603202984946,0.2359634454177444,-0.0202557716289734
1957,-2.8164728284191156,-0.0012245404387367688,0.01356513894971837,0.03562904301764726,-0.03452242538834008
1958,-2.6238299472877906,0.0076914619294388,0.0011006947568202655,-0.09587405158950779,0.028815697603970965
1959,-2.889278902224295,0.0005989736938178045,0.017054502555032974,0.3093376027803918,-0.0686500721178521
1960,-2.908990950698765,0.0013109483585121776,0.022362588566918456,0.038750741579881655,-0.04905573038558293
1961,-2.916170370376293,0.005326970603235899,0.01055122863674757,0.02006249779428681,0.06375369738173474
1962,-3.0539036014461907,0.0006255282006894097,0.017855158333728947,0.14714121188703141,-0.01632597425876273
1963,-2.9579905142583103,-0.00020592673545877932,0.016372295231609456,-0.05870412897846332,0.019637604879178535
1964,-3.0739525306642927,-0.0019846889285670133,0.02086494502318951,0.1591033929391133,-0.022753916042743065
1965,-3.147136402858789,-0.007276996093373497,0.026996549065538743,0.11011434311186985,-0.008866077321757516
1966,-3.1804876739970838,-0.009723242233435622,0.032689068829857,0.06694969264830053,-0.03378456820269184
1967,-3.0171141495226452,-0.006058818337105941,0.027922503621807832,-0.11885435760933155,-0.0008644729933643333
1968,-3.06858934455813,-0.0052051947615949536,0.035357642421865204,0.09591506661525198,-0.07303919560896156
1969,-3.053763798450418,-0.012423268269382247,0.046628171101126374,0.041694047651884295,-0.036668247801862425
1970,-2.8385251756860104,-0.0030089197287336694,0.050949717025228554,-0.16536225633684248,-0.11701968648029476
1971,-2.8010421773716354,0.012808464796926489,0.02111892219435997,-0.020269981152347447,0.09699250281699298
1972,-2.848565297295101,0.01282653047166896,0.019796834380966345,0.07476470688818582,0.02275152620208333
1973,-2.929193377923576,-0.011709316854523123,0.050418826218555514,0.11957842719583023,-0.03386989342972234
1974,-2.6049627957123613,-0.017873062857727218,0.0593258733667814,-0.24828433711209213,-0.03215616350302412
1975,-2.1884075444458397,0.029106799976356457,0.011831724608582922,-0.33623735856732917,-0.01408935023296258
1976,-2.4145781870300875,0.02888901422191719,0.016504021669320634,0.25991609728988896,-0.00374575346454456
1977,-2.436937766119304,0.02239345126142435,0.020119801886978317,0.0578644803289018,0.049686519333867196
1978,-2.223700126480763,0.01222138776260387,0.036847046587189736,-0.13677593456352846,-0.02559360135050781
1979,-2.2254488237734904,0.0013766129970066918,0.05686150705334729,0.07987753370477599,-0.05287037160411756
1980,-2.180523010593607,0.022175624386953384,0.046328391129175285,0.056885989892471525,-0.06845876750584566
