year,y_1,spr,dp,xr,xb,lambda_n,method
1920,0.005110595720792033,0.027101345941939296,-2.8514995678796344,0.11968339479940221,-0.01567216423110932,0.0,fisher_ar1
1921,0.06330560689022381,-0.023167064767565033,-2.7380310333141455,-0.22442041081507264,-0.0837355284684172,0.0,fisher_ar1
1922,0.06980430474146934,-0.0347331955876313,-2.661218901418111,0.0221403538095543,0.04285163867640944,0.0,fisher_ar1
1923,0.03674127613482252,-0.007260106760441799,-2.8209295491740636,0.21123960571912748,0.04144522010933563,0.0,fisher_ar1
1924,0.019181086216542007,0.009907679601247287,-2.7759920153714894,0.004119347072351648,-0.0016354165366812418,0.0,fisher_ar1
1925,0.024343759182207367,0.004134089651612091,-2.8697910501961443,0.19348684150492915,0.018695943867731393,0.0,fisher_ar1
1926,0.017033024392763302,0.009365836347704725,-2.9087208965643616,0.1938316828056957,0.03420856952099334,0.0,fisher_ar1
1927,0.03554878042110281,-0.009281479085812724,-2.8566194710912733,0.07156043545185017,0.011305636980755457,0.0,fisher_ar1
1928,0.03552237712774531,-0.011441314175736423,-3.026432628430918,0.27429081661880694,0.022992990728217602,0.0,fisher_ar1
1929,0.04857402256965754,-0.022959153477308755,-3.2437192935672736,0.3422672064538087,-0.03454665896384129,0.0,fisher_ar1
1930,0.027035809649468334,-0.0013250061382291192,-3.09797569120772,-0.14969903058772954,-0.024383940359961997,0.0,fisher_ar1
1931,0.0343919826488804,-0.009185327166607277,-2.969788879061967,-0.2970560791998768,0.00615580764574758,0.0,fisher_ar1
1932,0.05441859350676467,-0.020949881787211883,-2.8094026953624978,-0.6205956713143197,-0.13235444477972338,0.0,fisher_ar1
1933,0.034866239826611745,-0.008722629890624549,-2.7796658926138664,-0.13040832703695046,0.08032159668269498,0.0,fisher_ar1
1934,-0.011162781742654365,0.03334112438089237,-3.1536852393309878,0.42380598172104117,0.049881631600329324,0.0,fisher_ar1
1935,-0.016004861801243615,0.03244047719836471,-2.980726632936121,-0.09001298276830394,0.12139572162960569,0.0,fisher_ar1
1936,-0.010971382893079371,0.023920489486043577,-2.9502698994772336,0.43959232346078136,0.08887225088425002,0.0,fisher_ar1
1937,-0.011961157057489444,0.022124782266148734,-3.0904741100636763,0.2825691912723312,0.07053363248640933,0.0,fisher_ar1
1938,-0.0071966485265797416,0.018394542417018853,-3.0990318433917947,-0.40629905244008735,0.004345278447395531,0.0,fisher_ar1
1939,-0.0033612316468677236,0.013530387287359226,-3.0037644452512553,0.13968898771934105,0.03590281123062257,0.0,fisher_ar1
1940,-0.005676377929976025,0.01440995773274597,-2.9100768289754972,0.03132597572619654,0.038207202918067514,0.0,fisher_ar1
1941,-0.013054163488650327,0.019995042297199388,-2.6986161688688513,-0.09392701796072803,0.04565842936151941,0.0,fisher_ar1
1942,-0.042813501889526616,0.048237712606349153,-2.71704913697078,-0.10801701554803904,0.046898870987190026,0.0,fisher_ar1
1943,-0.031053420489019587,0.036921667260101085,-2.8058411561802976,0.17454710862230233,0.040242934057459,0.0,fisher_ar1
1944,-0.01607288590674133,0.02235557724786346,-2.9186149702095596,0.20650718583253666,0.029492179145356442,0.0,fisher_ar1
1945,-0.013653891365891969,0.019802775128302218,-3.01746411418133,0.17021255276010616,0.024744521630874747,0.0,fisher_ar1
1946,-0.01338796607540078,0.01808751290774007,-3.2339725611269676,0.3207058313976317,0.045712629413662276,0.0,fisher_ar1
1947,-0.05856086258097662,0.05999703054807634,-2.8963064934159797,-0.12334466810048499,0.0772648053817684,0.0,fisher_ar1
1948,-0.03236325896754878,0.03832698165493777,-2.7692228489846764,0.025472642305530036,-0.024802519342186108,0.0,fisher_ar1
1949,-0.0021003649897208196,0.008693911044822346,-2.600738465313122,0.09329853784677661,0.027047116210971334,0.0,fisher_ar1
1950,0.0064345467735562505,-0.00037683314614332056,-2.440867088377166,0.16218636739604553,0.018231319080334603,0.0,fisher_ar1
1951,-0.018302840239208897,0.02280471615142058,-2.7108830641865147,0.27959134237478034,0.027461844738467713,0.0,fisher_ar1
1952,-0.003996742775616343,0.012481392536696136,-2.842349620231859,0.16714117652373406,-0.04955883447644475,0.0,fisher_ar1
1953,0.010603782142737564,-0.000779581237633234,-2.893432204049271,0.10934394871475514,-0.010924941640644451,0.0,fisher_ar1
1954,0.0005130631875721603,0.009515922592707119,-2.8053261767037228,0.00536830954954421,-0.004311527374051452,0.0,fisher_ar1
1955,0.006774477754357012,0.002452232253827888,-3.077649396021878,0.36243494115127484,0.023325391332674722,0.0,fisher_ar1
1956,0.016735840056029613,-0.006037710330352639,-3.233707813823531,0.2359634454177444,-0.02307322461795557,0.0,fisher_ar1
1957,0.01454166013620175,0.0019047671077055857,-3.2339570599186485,0.03562904301764726,-0.10434297338448571,0.0,fisher_ar1
1958,-0.0002874816884217146,0.014942223337099454,-3.1568788332114868,-0.09587405158950779,0.030901568464705688,0.0,fisher_ar1
1959,0.018508363616609166,0.0016875138477031627,-3.414226881952489,0.3093376027803918,-0.0762810815620901,0.0,fisher_ar1
1960,0.024887241196984745,9.228844793877575e-05,-3.3931307456268613,0.038750741579881655,-0.07303602135908731,0.0,fisher_ar1
1961,0.009475010513778848,0.012565230871717278,-3.386569461257876,0.02006249779428681,0.04400277847942032,0.0,fisher_ar1
1962,0.0175046947134005,0.005745626321322635,-3.4789985033795476,0.14714121188703141,-0.006013151819930441,0.0,fisher_ar1
1963,0.016404672905996537,0.004671073458186337,-3.3511344780788566,-0.05870412897846332,0.03875740209903011,0.0,fisher_ar1
1964,0.021076494121413256,0.001649488698571431,-3.4203462005009166,0.1591033929391133,-0.020894687679164775,0.0,fisher_ar1
1965,0.026819684618221238,-0.0035468062670164398,-3.4551097921882565,0.11011434311186985,-0.006693459802267196,0.0,fisher_ar1
1966,0.033060301753816426,-0.007054452719864882,-3.4817224173816994,0.06694969264830053,-0.045026771489129175,0.0,fisher_ar1
1967,0.029167195654489747,0.0008525350687106879,-3.364576026973619,-0.11885435760933155,-0.0664526103799394,0.0,fisher_ar1
1968,0.03442399316995209,0.004729245049772131,-3.432620294015229,0.09591506661525198,-0.12942573067174676,0.0,fisher_ar1
1969,0.0495929162787565,-0.0066694343738543105,-3.4747928656747904,0.041694047651884295,-0.04481843610411634,0.0,fisher_ar1
1970,0.05377379944485547,0.0010410103012174071,-3.3590253963425454,-0.16536225633684248,-0.1578534770586444,0.0,fisher_ar1
1971,0.024417291969727795,0.02549462531275871,-3.416176917104118,-0.020269981152347447,0.05734607771079839,0.0,fisher_ar1
1972,0.020932613385415546,0.02787270537116762,-3.490234923288051,0.07476470688818582,0.03874070764330369,0.0,fisher_ar1
1973,0.05085821580202975,-0.002517365770786137,-3.5563619176087027,0.11957842719583023,0.033485231106355345,0.0,fisher_ar1
1974,0.061390126676808,-0.008050322072135165,-3.2845595233731286,-0.24828433711209213,-0.06316423456045084,0.0,fisher_ar1
1975,0.019459590599484947,0.042574083859886126,-2.981501053626042,-0.33623735856732917,-0.1091367312043995,0.0,fisher_ar1
1976,0.020354195635314133,0.040710006239655684,-3.174549755856635,0.25991609728988896,0.05306139561092997,0.0,fisher_ar1
1977,0.021050054015051795,0.034452566036629675,-3.1014032335243487,0.0578644803289018,0.10135250985453506,0.0,fisher_ar1
1978,0.03947133281309684,0.019814180209548532,-2.879242779609899,-0.13677593456352846,-0.00874084491455664,0.0,fisher_ar1
1979,0.06036921681713725,0.006078208643065616,-2.870610427682352,0.07987753370477599,-0.05943003938175889,0.0,fisher_ar1
1980,0.05108855736355773,0.031039106806625014,-2.8902815662388317,0.056885989892471525,-0.15757251341821654,0.0,fisher_ar1
1981,0.11186763509561634,-0.01392098566231667,-2.9985187346708435,0.1227350411270944,-0.11495480707667279,0.0,fisher_ar1
1982,0.09606441984883436,0.023441475055216918,-2.837400131904083,-0.2310069458986974,-0.19084685648125685,0.0,fisher_ar1
1983,0.06391489742505907,0.02680363515779438,-3.0130012034136446,0.118819248872679,0.22680621180495314,0.0,fisher_ar1
1984,0.07817317743720031,0.01609237626167416,-3.0954393886156137,0.09734243605617517,-0.003884671663430206,0.0,fisher_ar1
1985,0.0551139950501256,0.038237789248851295,-3.0783617009412354,-0.029454029352262948,0.023794491490966907,0.0,fisher_ar1
1986,0.0443447523270714,0.030645033944515163,-3.224608155890514,0.15203096730327553,0.19404950318496939,0.0,fisher_ar1
1987,0.042216132743498676,0.017879811509048535,-3.4019916178189575,0.2016404896739506,0.1758947503602814,0.0,fisher_ar1
1988,0.046812905494280854,0.02659291877250715,-3.2461117920083944,-0.07693782422492908,-0.128408690799373,0.0,fisher_ar1
1989,0.06015643780513614,0.010733956475388183,-3.250591746877108,0.09503772257398012,0.051430950808561415,0.0,fisher_ar1
1990,0.050573778527424,0.014427351482134594,-3.3364787137964256,0.12104015894603808,0.07005338414992057,0.0,fisher_ar1
1991,0.03514398478124886,0.03021088523906887,-3.2839265099094135,-0.08763406852760414,0.010692070549467254,0.0,fisher_ar1
1992,0.016258134485498208,0.042084921072258405,-3.513987853823766,0.20794755698704082,0.10403975056709386,0.0,fisher_ar1
1993,0.009614609287589983,0.045887160694534086,-3.5437663757171407,0.03513653197197707,0.07376884513329027,0.0,fisher_ar1
1994,0.020727348289219166,0.025733419494263627,-3.5811327308642067,0.07684161236215356,0.14911886808743088,0.0,fisher_ar1
1995,0.03975269237286814,0.020941507719832365,-3.5186312037171494,-0.029870592923251275,-0.14975896625439486,0.0,fisher_ar1
1996,0.032738596807139524,0.012644047277503317,-3.719317520435575,0.23955977049846525,0.18840413358180233,0.0,fisher_ar1
1997,0.03267040604439182,0.018331398984160474,-3.9006293108458845,0.18557241254890952,-0.05728624682487148,0.0,fisher_ar1
1998,0.036474606463921984,0.007312594393830328,-4.085415931477799,0.18944287683043698,0.10389366217426436,0.0,fisher_ar1
1999,0.032644392482111734,0.0076420794342316745,-4.315104608176781,0.21751832348346203,0.05148646408725676,0.0,fisher_ar1
2000,0.04146487395795938,0.012955687438655258,-4.473018120870648,0.09203668449803024,-0.17625766328265716,0.0,fisher_ar1
2001,0.019542831622046876,0.028778404784215318,-4.440953126642894,-0.11747400040504727,0.0832327276578363,0.0,fisher_ar1
2002,0.0009571679848524965,0.04237133105604296,-4.26201355520076,-0.18945526660102532,0.08936002931777307,0.0,fisher_ar1
2003,-0.01035658709092331,0.04976055396808257,-3.941866497234391,-0.24031092600769383,0.09209115536240477,0.0,fisher_ar1
2004,-0.005131776839696166,0.038745797917540445,-4.06486771821311,0.23972736995450217,0.1256823796969208,0.0,fisher_ar1
2005,0.01024855635329244,0.02140767816662838,-3.973471135159431,0.04610666695155117,0.06577734066256562,0.0,fisher_ar1
2006,0.025311746267808133,0.005438210751465975,-3.9395584089988422,0.06489721541902035,0.0341439437439022,0.0,fisher_ar1
2007,0.031617884590749275,0.0006326802525998057,-3.9388225855829346,0.07516560942939551,-0.015824456196403658,0.0,fisher_ar1
2008,0.006015771460965543,0.025032601241880434,-3.8829028530030394,-0.06403881203770355,0.017436946991724926,0.0,fisher_ar1
2009,-0.0034695188898857116,0.03290406339485599,-3.6538925146520054,-0.473607522800403,0.04783766425091002,0.0,fisher_ar1
2010,-0.01763885536354995,0.04842792646026496,-3.900589657278416,0.2708047296604516,0.013480097944927535,0.0,fisher_ar1
2011,-0.015324026485156236,0.04426047674515389,-3.882160411303047,0.1482419870925305,0.0746690723500992,0.0,fisher_ar1
