date,rtb,xr,xb,y_nom,dp,spr,xtips,y_real
1871-03-31,,,,,-2.8753015049751665,,,
1871-06-30,,,,,-2.9198475760291185,,,
1871-09-30,,,,,-2.9239883686951496,,,
1871-12-31,,,,,-2.9031107836735943,,,
1872-03-31,,,,,-2.9267394020670396,,,
1872-06-30,,,,,-2.9080713349955656,,,
1872-09-30,,,,,-2.837261932582216,,,
1872-12-31,,,,,-2.827313621929028,,,
1873-03-31,,,,,-2.8104795959511777,,,
1873-06-30,,,,,-2.7606125311930656,,,
1873-09-30,,,,,-2.6555321668187637,,,
1873-12-31,,,,,-2.594802320611218,,,
1874-03-31,,,,,-2.662587827025453,,,
1874-06-30,,,,,-2.6038113905535836,,,
1874-09-30,,,,,-2.6215896365748677,,,
1874-12-31,,,,,-2.6215896365748677,,,
1875-03-31,,,,,-2.6555321668187637,,,
1875-06-30,,,,,-2.6322313645448587,,,
1875-09-30,,,,,-2.654043200843063,,,
1875-12-31,,,,,-2.678735813433435,,,
1876-03-31,,,,,-2.710269957840523,,,
1876-06-30,,,,,-2.627081138568543,,,
1876-09-30,,,,,-2.509599262378372,,,
1876-12-31,,,,,-2.479335604738545,,,
1877-03-31,,,,,-2.4538482527680276,,,
1877-06-30,,,,,-2.4107986776342782,,,
1877-09-30,,,,,-2.7011297582576366,,,
1877-12-31,,,,,-2.839386203163297,,,
1878-03-31,,,,,-2.8495497633759097,,,
1878-06-30,,,,,-2.9141117451992375,,,
1878-09-30,,,,,-2.9594660955695966,,,
1878-12-31,,,,,-2.953172659135195,,,
1879-03-31,,,,,-2.9821266214982125,,,
1879-06-30,,,,,-3.03697523208804,,,
1879-09-30,,,,,-3.0745908484663107,,,
1879-12-31,,,,,-3.202746442938317,,,
1880-03-31,,,,,-3.2048240714125504,,,
1880-06-30,,,,,-3.0362063814817652,,,
1880-09-30,,,,,-3.0513021247088017,,,
1880-12-31,,,,,-3.111804444806745,,,
1881-03-31,,,,,-3.121964363696902,,,
1881-06-30,,,,,-3.121909101338843,,,
1881-09-30,,,,,-3.0200249661230356,,,
1881-12-31,,,,,-2.932859031735481,,,
1882-03-31,,,,,-2.8938379658726507,,,
1882-06-30,,,,,-2.8763855159214247,,,
1882-09-30,,,,,-2.9704144655697013,,,
1882-12-31,,,,,-2.9041650800285006,,,
1883-03-31,,,,,-2.880851997555569,,,
1883-06-30,,,,,-2.885230358395746,,,
1883-09-30,,,,,-2.8264550394410737,,,
1883-12-31,,,,,-2.7838882774937144,,,
1884-03-31,,,,,-2.7916369172104756,,,
1884-06-30,,,,,-2.6345830492203377,,,
1884-09-30,,,,,-2.6790626642289577,,,
1884-12-31,,,,,-2.639057329615259,,,
1885-03-31,,,,,-2.7063393366985804,,,
1885-06-30,,,,,-2.7495992040150825,,,
1885-09-30,,,,,-2.8936027784776113,,,
1885-12-31,,,,,-3.0757749812275277,,,
1886-03-31,,,,,-3.0949034620157754,,,
1886-06-30,,,,,-3.127904046662474,,,
1886-09-30,,,,,-3.1982194999425397,,,
1886-12-31,,,,,-3.244011798139743,,,
1887-03-31,,,,,-3.2157941583307927,,,
1887-06-30,,,,,-3.1938852955646264,,,
1887-09-30,,,,,-3.0994419427782924,,,
1887-12-31,,,,,-3.0483247236731614,,,
1888-03-31,,,,,-3.0318083300278005,,,
1888-06-30,,,,,-3.0385522707369192,,,
1888-09-30,,,,,-3.130858139011671,,,
1888-12-31,,,,,-3.1067290495260154,,,
1889-03-31,,,,,-3.1273387377689295,,,
1889-06-30,,,,,-3.179903969636107,,,
1889-09-30,,,,,-3.2075762696142673,,,
1889-12-31,,,,,-3.1856010359833284,,,
1890-03-31,,,,,-3.1780538303479458,,,
1890-06-30,,,,,-3.233316509022995,,,
1890-09-30,,,,,-3.1856010359833284,,,
1890-12-31,,,,,-3.040184036124825,,,
1891-03-31,,,,,-3.0848248167474455,,,
1891-06-30,,,,,-3.0931064375791673,,,
1891-09-30,,,,,-3.1874789708075286,,,
1891-12-31,,,,,-3.2023768254881655,,,
1892-03-31,,,,,-3.2108436531709366,,,
1892-06-30,,,,,-3.1816704708181343,,,
1892-09-30,,,,,-3.1492748657979024,,,
1892-12-31,,,,,-3.133680978804969,,,
1893-03-31,,,,,-3.0863454038584464,,,
1893-06-30,,,,,-2.9347249254459675,,,
1893-09-30,,,,,-2.871107706080891,,,
1893-12-31,,,,,-2.8701690505786455,,,
1894-03-31,,,,,-2.933413509154733,,,
1894-06-30,,,,,-2.937550318171255,,,
1894-09-30,,,,,-3.0137507790566693,,,
1894-12-31,,,,,-3.0192627709641853,,,
1895-03-31,,,,,-3.0174460337777753,,,
1895-06-30,,,,,-3.1570004211501135,,,
1895-09-30,,,,,-3.2075296484808993,,,
1895-12-31,,,,,-3.12398660907767,,,
1896-03-31,,,,,-3.1510251579600266,,,
1896-06-30,,,,,-3.1506548561598313,,,
1896-09-30,,,,,-3.0897963472780687,,,
1896-12-31,,,,,-3.154633556139847,,,
1897-03-31,,,,,-3.147499162025973,,,
1897-06-30,,,,,-3.16641225533246,,,
1897-09-30,,,,,-3.3202283191284883,,,
1897-12-31,,,,,-3.2729430461384768,,,
1898-03-31,,,,,-3.2242666735030774,,,
1898-06-30,,,,,-3.282097690121025,,,
1898-09-30,,,,,-3.294886747168009,,,
1898-12-31,,,,,-3.34109345759245,,,
1899-03-31,,,,,-3.4533133828011695,,,
1899-06-30,,,,,-3.388103904915136,,,
1899-09-30,,,,,-3.424223408895456,,,
1899-12-31,,,,,-3.355735007585398,,,
1900-03-31,,,,,-3.2930452390667333,,,
1900-06-30,,,,,-3.1346413374126323,,,
1900-09-30,,,,,-3.0397922633480214,,,
1900-12-31,,,,,-3.131136910560194,,,
1901-03-31,,,,,-3.203678968150769,,,
1901-06-30,,,,,-3.311249144999216,,,
1901-09-30,,,,,-3.23462418183634,,,
1901-12-31,,,,,-3.2126062118546055,,,
1902-03-31,,,,,-3.235786297016517,,,
1902-06-30,,,,,-3.253351570637256,,,
1902-09-30,,,,,-3.2966846829266685,,,
1902-12-31,,,,,-3.194334715952083,,,
1903-03-31,,,,,-3.1830166196900747,,,
1903-06-30,,,,,-3.0501090444320624,,,
1903-09-30,,,,,-2.9313869704635866,,,
1903-12-31,,,,,-2.932335956995197,,,
1904-03-31,,,,,-2.9475301717361133,,,
1904-06-30,,,,,-2.982002080742089,,,
1904-09-30,,,,,-3.130044611161585,,,
1904-12-31,,,,,-3.281396181849535,,,
1905-03-31,,,,,-3.357947397868339,,,
1905-06-30,,,,,-3.2911964864478267,,,
1905-09-30,,,,,-3.3463891451671604,,,
1905-12-31,,,,,-3.3641561099818063,,,
1906-03-31,,,,,-3.3145783410406002,,,
1906-06-30,,,,,-3.2378723255588557,,,
1906-09-30,,,,,-3.2666072276893905,,,
1906-12-31,,,,,-3.202746442938317,,,
1907-03-31,,,,,-3.0138596581465475,,,
1907-06-30,,,,,-2.9267394020670396,,,
1907-09-30,,,,,-2.8521841026859973,,,
1907-12-31,,,,,-2.7034943845663495,,,
1908-03-31,,,,,-2.7711341765287867,,,
1908-06-30,,,,,-2.9008981708831523,,,
1908-09-30,,,,,-2.992067028155695,,,
1908-12-31,,,,,-3.116843099303049,,,
1909-03-31,,,,,-3.0798940658757017,,,
1909-06-30,,,,,-3.1498829533812494,,,
1909-09-30,,,,,-3.1653769175291626,,,
1909-12-31,,,,,-3.1531244473054203,,,
1910-03-31,,,,,-3.102655812863734,,,
1910-06-30,,,,,-2.995732273553991,,,
1910-09-30,,,,,-2.9582829635123753,,,
1910-12-31,,,,,-2.9577873419898677,,,
